,Player,Matches,Inns,Not_outs,Runs,Ave,B_Faced,SR,Fours,Sixes
43,SR Watson (AUS),38,37,4,1083,32.8,741,146.1,87,62
44,AB de Villiers (SA),46,44,5,1082,27.73,756,143.1,98,40
45,GC Wilson (IRE),66,55,7,1075,22.39,973,110.5,91,19
46,CS MacLeod (SCOT),47,46,7,1042,26.7,902,115.5,93,21
47,BB McCullum (NZ),31,30,3,1040,38.5,714,145.6,87,52
48,KA Pollard (WI),56,45,11,1036,30.47,748,138.5,60,70
49,CH Gayle (WI),38,34,3,1010,32.6,712,141.9,81,71
50,LMP Simmons (WI),46,45,8,1002,27.08,807,124.2,82,50
51,HG Munsey (SCOT),38,36,3,987,29.9,640,154.2,114,45
52,Najibullah Zadran (AFG),60,51,20,976,31.48,694,140.6,63,52
53,Shaiman Anwar (UAE),32,32,3,971,33.47,770,126.1,75,43
54,Samiullah Shinwari (AFG),56,49,9,951,23.77,806,118.0,73,35
55,Sabbir Rahman (BAN),44,43,5,946,24.89,783,120.8,89,28
56,A Balbirnie (IRE),43,39,2,945,25.55,728,129.8,111,13
57,E Lewis (WI),32,31,2,934,32.2,601,155.4,64,73
58,JM Bairstow (ENG),46,40,7,932,28.23,668,139.5,87,40
59,JE Root (ENG),32,30,5,893,35.72,707,126.3,92,16
60,JJ Roy (ENG),38,38,0,890,23.42,618,144.0,88,42
61,Soumya Sarkar (BAN),50,50,3,885,18.81,706,125.4,86,35
62,MP O'Dowd (NED),36,35,2,866,26.23,718,120.6,83,19
63,DJ Malan (ENG),19,19,3,855,53.44,572,149.5,93,30
64,SC Williams (ZIM),41,41,5,844,23.44,645,130.9,80,24
65,Fakhar Zaman (PAK),40,38,0,838,22.05,625,134.1,94,25
66,AD Mathews (SL),54,42,10,826,25.81,711,116.2,53,28
67,WTS Porterfield (IRE),44,43,5,816,21.47,718,113.6,87,21
68,DJ Bravo (WI),49,40,7,807,24.45,709,113.8,45,35
69,Sarfaraz Ahmed (PAK),57,40,12,807,28.81,636,126.9,78,15
70,W Barresi (NED),42,41,6,799,22.81,695,114.94,69,21
71,P Khadka (NEP),33,32,3,799,27.55,624,128.0,82,26
72,Rohan Mustafa (UAE),43,42,2,766,19.16,625,122.56,91,22
73,Muhammad Usman (UAE),39,36,5,765,24.67,640,119.5,65,24
74,MH Cross (SCOT),43,35,6,755,26.03,593,127.3,77,22
75,Shahid Afridi (ICC/PAK),57,51,9,745,17.73,480,155.2,48,47
76,LD Chandimal (SL),49,43,4,741,19.0,708,104.7,71,14
77,SJ Myburgh (NED),33,32,2,741,24.7,635,116.7,82,22
78,Nizakat Khan (HKG),43,41,0,729,17.78,583,125.06,68,24
79,J Charles (WI),34,33,0,724,21.94,595,121.7,84,26
80,E Chigumbura (ZIM),43,43,8,719,20.55,517,139.1,49,43
81,DPMD Jayawardene (SL),23,23,4,709,37.3,568,124.8,90,12
82,MK Pandey (IND),39,33,17,709,44.3,562,126.1,49,19
83,SPD Smith (AUS),31,28,6,698,31.72,543,128.5,57,18
84,Jatinder Singh (OMA),28,28,3,697,27.88,611,114.06,72,8
85,ADS Fletcher (WI),31,29,3,686,26.38,592,115.9,43,40
86,BRM Taylor (ZIM),34,34,4,685,22.83,573,119.56,73,16
87,TP Ura (PNG),23,23,5,671,37.28,476,141.0,54,31
88,TL Seifert (NZ),30,28,4,668,27.83,479,139.5,53,37
89,DJM Short (AUS),23,23,2,642,30.56,540,118.9,71,15
90,Syed Aziz (MAS),23,22,4,637,35.38,467,136.4,61,25
91,RR Hendricks (SA),25,25,0,636,25.44,536,118.6,76,8
92,Litton Das (BAN),29,29,1,636,22.7,471,135.0,60,25
93,Kamran Khan (QAT),21,21,1,630,31.5,468,134.6,50,39
94,Yuvraj Singh (IND),36,30,5,622,24.88,502,123.9,44,36
95,MR Swart (NED),26,25,2,621,27.0,537,115.6,53,16
96,MN Waller (ZIM),32,31,8,613,26.66,443,138.4,42,28
97,KC Sangakkara (SL),27,25,6,605,31.84,504,120.0,61,6
98,Khawar Ali (OMA),32,31,2,601,20.72,603,99.7,66,14
99,Muhammad Tanveer (QAT),22,22,6,600,37.5,458,131.0,49,31
100,CO Obuya (KENYA),26,26,4,585,26.6,553,105.75,38,16
101,R Sandaruwan (KUW),15,15,2,577,44.38,348,165.8,52,36
102,Hazratullah Zazai (AFG),15,15,1,570,40.72,367,155.2,49,40
103,G Malla (NEP),27,25,0,566,22.64,465,121.75,53,23
104,Virandeep Singh (MAS),21,21,1,564,28.2,521,108.25,51,18
105,TH David (SGP),14,14,2,558,46.5,352,158.5,50,26
106,Zeeshan Maqsood (OMA),31,26,4,547,24.86,490,111.6,66,12
107,HE van der Dussen (SA),18,17,3,542,38.72,397,136.5,31,26
108,Babar Hayat (HKG),24,24,4,541,27.05,433,124.94,45,20
109,AD Russell (WI),49,41,14,540,20.0,357,151.2,32,42
110,PW Borren (NED),33,30,3,531,19.66,414,128.2,52,17
111,RS Bopara (ENG),27,25,10,520,34.66,409,127.1,35,16
112,F Behardien (SA),38,30,14,518,32.38,404,128.2,37,16
113,RR Patel (KENYA),25,24,4,513,25.66,383,134.0,31,31
114,MS Chapman (HKG/NZ),25,24,2,509,23.12,436,116.75,42,14
115,DR Smith (WI),25,24,0,509,21.2,419,121.5,59,26
116,KD Shah (HKG),35,31,5,502,19.3,456,110.06,44,12
117,Gulbadin Naib (AFG),48,39,11,495,17.67,408,121.3,34,24
118,C de Grandhomme (NZ),36,34,7,487,18.03,340,143.2,27,29
119,CJ Anderson (NZ),31,24,4,485,24.25,351,138.1,30,26
120,BKG Mendis (SL),26,26,0,484,18.61,368,131.5,41,21
121,MD Shanaka (SL),40,39,8,483,15.58,435,111.0,32,26
122,TP Visee (NED),27,27,0,478,17.7,316,151.2,65,17
123,GJ Bailey (AUS/World),30,26,7,473,24.89,346,136.8,37,20
124,MD Gunathilaka (SL),24,23,0,473,20.56,388,121.9,52,12
125,CR Ervine (ZIM),22,22,1,471,22.42,455,103.5,46,13
126,CL White (AUS),24,22,6,471,29.44,385,122.3,43,13
127,Usman Ghani (AFG),20,20,1,463,24.36,431,107.44,46,12
128,PM Seelaar (NED),60,37,11,462,17.77,416,111.06,31,8
129,A Vala (PNG),26,24,4,460,23.0,427,107.75,39,13
130,V Sibanda (ZIM),23,23,1,459,20.86,462,99.4,42,11
131,Shafiqullah (AFG),41,37,12,457,18.28,303,150.9,30,30
132,Rameez Shahzad (UAE),22,21,3,449,24.94,404,111.1,37,13
133,DJG Sammy (WI/World),49,38,13,447,17.88,283,158.0,37,24
134,Sikandar Raza (ZIM),36,34,0,442,13.0,423,104.5,40,8
135,Ahmed Faiz (MAS),18,17,1,436,27.25,373,116.9,39,11
136,S Chandramohan (SGP),15,15,1,436,31.14,366,119.1,44,16
137,GJ Delany (IRE),23,21,3,436,24.22,290,150.4,38,20
138,NR Kumar (CAN),18,16,2,434,31.0,336,129.1,34,13
139,Karim Sadiq (AFG),28,28,0,432,15.42,394,109.6,49,8
140,LJ Wright (ENG),24,23,3,431,21.55,300,143.6,36,20
141,N Dickwella (SL),23,22,0,429,19.5,309,138.9,57,8
142,SS Iyer (IND),24,22,6,429,26.81,328,130.8,30,20
143,CK Kapugedera (SL),23,21,4,427,25.11,358,119.25,35,15
144,MS Wade (AUS),33,24,5,427,22.47,343,124.5,31,14
145,PL Mommsen (SCOT),24,19,7,419,34.9,329,127.4,32,11
146,D Ramdin (WI),49,33,12,417,19.84,362,115.2,24,17
147,MJ Lumb (ENG),20,20,1,415,21.84,316,131.4,46,18
148,RR Pant (IND),28,25,5,410,20.5,337,121.7,28,18
149,CJ Chibhabha (ZIM),25,24,0,409,17.05,366,111.75,47,8
150,Aqib Ilyas (OMA),22,22,4,408,22.66,356,114.6,47,7
151,MG Erasmus (NAM),16,14,3,407,37.0,293,138.9,33,20
152,MW Machan (SCOT),13,13,3,407,40.7,318,128.0,37,7
153,TLW Cooper (NED),18,17,3,404,28.84,306,132.0,38,16
154,EC Joyce (IRE),16,14,3,404,36.72,428,94.4,30,5
155,Nawroz Mangal (AFG),24,24,2,403,18.31,348,115.8,32,17
156,RE van der Merwe (NED),30,23,9,397,28.34,295,134.6,34,9
157,MM Ali (ENG),34,31,8,392,17.05,291,134.8,33,19
158,SW Billings (ENG/ICC),30,27,4,391,17.0,293,133.5,37,12
159,HH Pandya (IND),43,28,7,388,18.47,260,149.2,22,24
160,SJ Baard (NAM),13,13,2,387,35.2,305,126.9,32,13
161,Tamoor Sajjad (QAT),16,15,4,380,34.53,280,135.8,31,15
162,SO Hetmyer (WI),27,23,3,379,18.95,324,117.0,24,20
163,CJA Amini (PNG),23,18,4,377,26.92,324,116.4,16,13
164,AM Rahane (IND),20,20,2,375,20.83,331,113.3,32,6
165,J Rasu (VAN),13,13,0,374,28.77,338,110.6,27,16
166,Hussain Talat (PAK),15,15,2,371,28.53,309,120.06,35,5
167,Nasir Hossain (BAN),31,24,4,370,18.5,326,113.5,30,7
168,JW Jenner (JER),17,17,2,365,24.33,299,122.06,24,14
169,Aizaz Khan (HKG),39,34,8,364,14.0,336,108.3,26,6
170,PJ Moor (ZIM),21,19,4,364,24.27,286,127.25,22,24
171,HT Tector (IRE),20,18,4,364,26.0,271,134.2,27,11
172,Nasir Jamshed (PAK),18,18,1,363,21.34,320,113.44,34,12
173,NS Dhaliwal (CAN),12,11,2,361,40.12,291,124.06,22,16
174,N Pooran (WI),24,21,4,361,21.23,289,124.94,29,19
175,Sharjeel Khan (PAK),15,15,0,360,24.0,262,137.4,48,13
176,BA Stokes (ENG),29,25,6,358,18.84,267,134.1,27,17
177,Aamir Kaleem (OMA),28,23,4,357,18.78,324,110.2,30,10
178,S Bau (PNG),23,17,3,356,25.42,338,105.3,21,11
179,Anamul Haque (BAN),13,13,2,355,32.28,301,117.94,38,12
180,Chirag Suri (UAE),12,12,2,352,35.2,304,115.75,34,7
181,DM Bravo (WI),19,17,1,340,21.25,316,107.56,28,13
182,JM Vince (ENG),12,12,0,340,28.33,275,123.6,34,9
183,H Gori (CZK-R),11,11,0,337,30.62,255,132.1,36,17
184,R Powell (WI),29,21,3,337,18.72,277,121.7,29,13
185,N Davin (NAM),16,16,1,335,22.33,216,155.1,33,15
186,SA Edwards (NED),29,22,8,334,23.84,229,145.9,33,6
187,Rahmanullah Gurbaz (AFG),10,10,0,332,33.2,236,140.6,26,20
188,Asif Ali (PAK),25,24,6,331,18.38,258,128.2,15,19
189,DM de Silva (SL),16,15,0,331,22.06,301,109.94,28,5
190,DS Airee (NEP),21,18,2,330,20.62,308,107.1,23,6
191,Faisal Javed (QAT),15,15,0,330,22.0,212,155.6,45,11
192,SR Thompson (IRE),41,30,8,328,14.9,254,129.1,23,14
193,Mohamed Rishwan (MDV),14,13,0,327,25.16,312,104.8,29,15
194,RR Rossouw (SA),15,14,3,327,29.72,237,138.0,29,12
195,MJ Santner (NZ),48,34,14,325,16.25,253,128.5,23,11
196,Yasir Ali (ESP),11,11,4,325,46.4,280,116.06,23,15
197,GD Phillips (NZ),17,14,1,324,24.92,236,137.2,26,17
198,Anshuman Rath (HKG),20,19,2,321,18.88,344,93.3,31,2
199,N Vanua (PNG),25,22,8,321,22.92,211,152.1,12,23
200,TM Head (AUS),16,15,3,319,26.58,245,130.2,19,10
201,RN ten Doeschate (NED),13,13,6,319,45.56,234,136.4,16,12
202,RJ Nicol (NZ),19,17,0,317,18.64,280,113.2,32,11
203,BDH Stevens (JER),17,17,1,316,19.75,315,100.3,30,6
204,R Mutumbami (ZIM),24,21,4,315,18.52,266,118.44,19,17
205,Mohammad Rizwan (PAK),26,18,4,313,22.34,288,108.7,31,5
206,Manpreet Singh (SGP),15,14,2,312,26.0,267,116.9,21,6
207,N Nipiko (VAN),14,14,2,312,26.0,297,105.06,16,13
208,L Ronchi (ICC/NZ),30,24,6,312,17.33,229,136.2,22,13
209,G Gambhir (IND),14,14,2,311,25.9,283,109.9,35,2
210,CR Brathwaite (WI),41,27,6,310,14.76,274,113.1,13,22
211,S Vesawkar (NEP),17,16,3,310,23.84,313,99.06,25,7
212,JJ Atkinson (HKG),17,16,2,309,22.06,277,111.56,31,9
213,Noor Ali Zadran (AFG),13,13,1,307,25.58,280,109.6,30,5
214,Waqas Barkat (HKG),30,25,3,307,13.95,333,92.2,25,0
215,B Bhandari (NEP),30,25,6,304,16.0,277,109.75,24,12
216,NJ Ferraby (JER),14,14,1,303,23.3,257,117.9,38,2
217,Imad Wasim (PAK),49,33,11,302,13.72,207,145.9,33,7
218,KD Karthik (ICC/IND),23,18,12,299,49.84,190,157.4,28,14
219,L Siaka (PNG),26,22,2,296,14.8,271,109.25,26,7
220,RP Burl (ZIM),19,16,4,295,24.58,261,113.0,17,11
221,Shaheryar Butt (Belg),7,7,3,294,73.5,166,177.1,21,21
222,S Wickramasekara (CZK-R),9,9,2,294,42.0,163,180.4,21,23
223,WU Tharanga (SL),18,18,1,293,17.23,232,126.3,32,9
224,CA Lynn (AUS),18,16,1,291,19.4,221,131.6,28,14
225,HDRL Thirimanne (SL),26,20,2,291,16.16,267,109.0,27,5
226,Haroon Arshad (HKG),17,15,4,289,26.27,213,135.6,22,9
227,IA Karim (KENYA),16,16,3,286,22.0,299,95.6,30,2
228,Kamran Akmal (PAK),20,20,3,283,16.64,260,108.8,33,6
229,C Kieswetter (ENG),16,16,1,282,18.8,263,107.25,24,11
230,Mohammad Shahzad (UAE),20,20,2,281,15.61,239,117.56,25,11
231,TC Bruce (NZ),17,17,2,279,18.6,228,122.4,24,7
232,Mohammed Rizlan (QAT),22,18,7,276,25.1,277,99.6,14,13
233,TAM Siriwardana (SL),22,19,3,275,17.19,208,132.2,16,12
234,JEC Franklin (NZ),22,17,4,273,21.0,202,135.1,18,15
235,Amjad Javed (UAE),22,18,3,271,18.06,242,112.0,17,15
236,H Klaasen (SA),13,13,2,271,24.62,180,150.5,15,16
237,GH Dockrell (IRE),70,35,16,268,14.1,215,124.6,15,7
238,Ravinderpal Singh (CAN),12,10,2,266,33.25,177,150.2,13,19
239,PK Matautaava (VAN),10,10,0,265,26.5,156,169.9,19,20
240,KP Pietersen (ENG),9,8,1,265,37.84,188,141.0,29,8
241,SR Taylor (USA),8,8,1,265,37.84,207,128.0,28,10
242,MEK Hussey (AUS),11,10,4,264,44.0,225,117.3,18,8
243,DMW Rawlins (BER),11,11,0,261,23.72,201,129.9,23,15
244,Shahid Wasif (HKG),18,17,4,261,20.06,233,112.0,20,8
245,Adnan Idrees (KUW),6,6,0,259,43.16,157,165.0,35,9
246,Adnan Ilyas (OMA),12,11,0,258,23.45,218,118.3,16,8
247,MR Marsh (AUS),15,15,4,258,23.45,225,114.7,11,12
248,Najeeb Tarakai (AFG),12,12,0,258,21.5,210,122.9,21,13
249,AA Obanda (KENYA),20,20,1,255,13.42,228,111.8,35,6
250,SF Mire (ZIM),9,8,0,253,31.62,196,129.1,23,13
251,Sarfaraz Ali (BHR),8,8,0,253,31.62,148,171.0,24,19
252,Zaheer Ibrahim (QAT),20,18,3,251,16.73,228,110.06,26,8
253,JDS Neesham (NZ),24,18,6,250,20.83,169,147.9,24,13
254,T Bavuma (SA),8,8,1,249,35.56,187,133.1,20,7
255,CG Williams (NAM),13,12,3,249,27.66,210,118.56,15,10
256,Muhammad Kashif (KUW),15,12,4,248,31.0,230,107.8,15,13
257,CJ Jordan (ENG),55,32,15,247,14.52,191,129.2,17,12
258,JP Kotze (NAM),12,12,1,245,22.27,193,126.94,21,13
259,CN Ackermann (NED),11,11,3,243,30.38,196,124.0,18,5
260,GSNFG Jayasuriya (SL),18,16,0,241,15.06,222,108.56,20,8
261,UT Khawaja (AUS),9,9,0,241,26.77,182,132.4,31,5
262,MA Leask (SCOT),31,22,2,240,12.0,199,120.6,16,12
263,SW Poynter (IRE),25,21,6,240,16.0,213,112.7,22,6
264,Ashfaq Ahmed (UAE),12,12,0,238,19.83,185,128.6,32,6
265,J Butler (GUE),10,9,2,238,34.0,241,98.75,25,1
266,SD Hope (WI),13,11,0,238,21.62,175,136.0,24,10
267,K Dasan (BUL),10,9,1,237,29.62,222,106.75,19,4
268,S Davizi (CZK-R),6,6,0,237,39.5,196,120.94,19,10
269,RE Levi (SA),13,13,2,236,21.45,167,141.2,20,15
270,Mashrafe Mortaza (BAN),41,27,8,236,12.42,160,147.5,22,15
271,MP Stoinis (AUS),23,18,7,236,21.45,186,126.9,21,6
272,F Damiao Couana (MOZ),7,7,1,233,38.84,179,130.1,16,14
273,I Udana (SL),25,20,9,229,20.81,154,148.8,15,13
274,C Bisson (JER),14,14,2,226,18.83,177,127.7,24,5
275,DAS Gunaratne (SL),12,12,3,225,25.0,178,126.4,19,6
276,Inam-ul-Haq (QAT),11,11,2,225,25.0,205,109.75,28,2
277,Shafiq Sharif (MAS),10,10,0,225,22.5,171,131.6,32,5
278,CAK Walton (WI),19,17,0,225,13.23,203,110.8,23,11
279,MN van Wyk (SA),6,6,1,224,44.8,153,146.4,19,14
280,DG Blampied (JER),17,15,6,221,24.55,222,99.56,14,0
281,Sohaib Maqsood (PAK),20,18,2,221,13.81,201,109.94,15,8
282,R Satheesan (ROM),8,6,2,220,55.0,128,171.9,15,11
283,MC Henriques (AUS),13,10,4,219,36.5,160,136.9,10,9
284,Mohammad Naim (BAN),6,6,0,219,36.5,183,119.7,25,5
285,AD Poynter (IRE),19,14,3,219,19.9,184,119.0,21,8
286,Tanwir Afzal (HKG),21,18,2,219,13.68,173,126.56,9,15
287,Khurram Nawaz (OMA),19,14,3,216,19.62,185,116.75,12,10
288,MJG Rippon (NED),18,11,4,216,30.84,192,112.5,15,3
289,SS McKechnie (HKG),19,17,7,215,21.5,223,96.44,14,2
290,Mohamed Arief (MAS),12,11,2,215,23.88,171,125.75,23,5
291,EMDY Munaweera (SL),13,13,1,215,17.9,164,131.1,25,7
292,B Ward (JER),13,12,3,215,23.88,160,134.4,8,15
293,PD Hennessy (ESP),10,8,1,214,30.56,177,120.9,13,9
294,S Muniandy (MAS),24,20,8,214,17.83,155,138.0,14,12
295,S Prasanna (SL),20,20,6,214,15.28,161,132.9,13,13
296,Haris Sohail (PAK),14,13,2,210,19.1,204,102.94,16,3
297,Aarif Sheikh (NEP),14,12,2,209,20.9,197,106.06,20,4
298,R Rohan (SGP),13,12,0,209,17.4,175,119.44,25,6
299,Bilal Zalmai (Aut),5,4,1,208,69.3,109,190.9,16,16
300,Ghulam Shabber (UAE),17,14,3,208,18.9,182,114.25,24,4
301,BBJL Perera (ITA),8,7,1,208,34.66,144,144.5,23,8
302,Khalid Latif (PAK),8,8,2,207,34.5,196,105.6,22,5
303,BMAJ Mendis (SL),22,15,4,207,18.81,174,118.94,18,6
304,Simi Singh (IRE),24,23,4,207,10.89,178,116.3,13,7
305,TG Southee (NZ),56,25,11,207,14.78,133,155.6,13,14
306,Faisal Khan (KSA),7,7,1,206,34.34,97,212.4,22,14
307,NJ O'Brien (IRE),14,13,1,206,17.16,209,98.56,13,3
308,R Panchal (ESP),11,9,4,206,41.2,197,104.56,9,7
309,JJ Smit (NAM),12,10,2,206,25.75,128,160.9,10,14
310,T Banton (ENG),9,9,0,205,22.77,143,143.4,19,9
311,R Gunasekera (CAN),8,8,0,202,25.25,188,107.44,23,4
312,SE Marsh (AUS),12,12,1,202,18.36,200,101.0,12,7
313,KS Leverock (BER),12,12,2,201,20.1,165,121.8,16,11
314,S Pokhriyal (CZK-R),9,9,1,200,25.0,186,107.5,31,3
315,VB Chikkannaiah (GER),9,9,1,199,24.88,212,93.9,12,4
316,DM Gondaria (KENYA),11,9,2,199,28.42,157,126.75,12,6
317,Aminuddin Ramly (MAS),19,17,4,199,15.3,142,140.1,9,12
318,Sompal Kami (NEP),28,19,6,198,15.23,176,112.5,15,7
319,Umar Adam (MDV),14,13,1,198,16.5,169,117.1,21,6
320,WIA Fernando (SL),15,14,0,195,13.92,194,100.5,16,4
321,Mukhtar Ahmed (PAK),6,6,0,192,32.0,134,143.2,23,5
322,Ahmed Hassan (MDV),11,10,0,189,18.9,192,98.44,18,2
323,SR Patel (ENG),18,14,2,189,15.75,173,109.25,17,5
324,Iftikhar Ahmed (PAK),11,9,6,188,62.66,133,141.4,17,5
325,Ehsan Khan (HKG),23,15,8,187,26.7,158,118.4,11,10
326,SP Patil (UAE),18,13,0,187,14.38,218,85.75,16,4
327,Mohammad Ashraful (BAN),8,8,0,185,23.12,177,104.5,21,2
328,V Vijh (LUX),8,8,2,185,30.83,202,91.56,17,4
329,Mosaddek Hossain (BAN),14,13,4,183,20.33,173,105.75,10,5
330,Shadab Khan (PAK),46,19,6,183,14.07,147,124.5,11,9
331,Karan KC (NEP),28,18,5,182,14.0,135,134.8,9,13
332,C Tommy (VAN),12,11,0,180,16.36,191,94.25,6,8
333,CAJ Meschede (GER),5,5,1,179,44.75,115,155.6,9,14
334,Rizwan Cheema (CAN),16,16,1,179,11.93,141,126.94,13,14
335,Asad Shafiq (PAK),8,8,0,178,22.25,159,111.94,19,2
336,Sidhant Singh (SGP),11,9,2,178,25.42,135,131.9,15,6
337,Ammad Uddin (BHR),8,8,2,176,29.33,94,187.2,18,10
338,AT Carey (AUS),30,18,4,176,12.57,151,116.56,13,6
339,Haider Ali (PAK),7,7,1,176,29.33,122,144.2,14,8
340,Imran Nazir (PAK),9,9,0,176,19.55,135,130.4,27,3
341,Kaleem Shah (MOZ),7,7,1,176,29.33,170,103.5,21,4
342,Mohammad Naveed (UAE),31,24,10,176,12.57,147,119.75,17,8
343,DP Conway (NZ),6,4,1,174,58.0,115,151.2,17,6
344,Nouman Sarwar (QAT),14,9,6,172,57.34,128,134.4,16,6
345,HAM Shah (DEN),9,8,0,172,21.5,168,102.4,18,2
346,MNR Cooray (MDV),7,6,1,170,34.0,148,114.9,21,3
347,Faheem Ashraf (PAK),32,21,6,170,11.33,136,125.0,9,11
348,DJ Hussey (AUS),13,12,0,170,14.16,177,96.06,7,7
349,Anwar Arudin (MAS),17,17,0,168,9.88,177,94.94,19,5
350,Karim Janat (AFG),24,15,2,168,12.92,163,103.06,12,7
351,KMA Paul (WI),20,14,6,168,21.0,143,117.5,8,11
352,Sohail Tanvir (PAK),42,20,7,167,12.84,139,120.1,15,6
353,TT Bresnan (ENG),20,14,5,166,18.44,127,130.8,11,6
354,Fiaz Ahmed (BHR),8,8,3,166,33.2,127,130.8,8,11
355,HJ Jordaan (THA),8,8,1,166,23.7,210,79.06,10,4
356,JT Smuts (SA),11,11,0,166,15.09,151,109.94,17,6
357,DJ Willey (ENG),28,19,7,166,13.83,126,131.8,8,10
358,Awais Ahmed (ESP),11,6,2,165,41.25,141,117.0,7,7
359,Tarun Sharma (Mex),8,8,1,164,23.42,160,102.5,12,6
360,Waqas Khan (HKG),16,14,4,164,16.4,189,86.75,6,5
361,KMDN Kulasekara (SL),46,21,7,163,11.64,137,119.0,13,5
362,TWM Latham (NZ),13,10,0,163,16.3,157,103.8,12,2
363,Rashid Khan (AFG/ICC),48,23,12,163,14.81,130,125.4,10,10
364,RG Aga (KENYA),16,14,1,162,12.46,145,111.75,13,3
365,H Davids (SA),9,9,0,161,17.88,134,120.1,18,4
366,DT Johnston (IRE),14,7,4,160,53.34,93,172.0,11,9
367,T Mishra (KENYA),11,11,0,160,14.54,171,93.56,11,2
368,NMS Param (SGP),8,7,2,160,32.0,118,135.6,12,6
369,Saber Zakhil (Belg),7,7,1,160,26.66,101,158.4,9,11
370,Bakhtiar Tahiri (BUL),7,6,0,159,26.5,148,107.44,12,8
371,JP Faulkner (AUS),24,18,7,159,14.45,138,115.2,7,5
372,A Mansale (VAN),14,14,0,159,11.35,151,105.3,14,5
373,MR Adair (IRE),18,15,4,158,14.36,127,124.4,8,7
374,RW Chakabva (ZIM),11,11,1,158,15.8,128,123.44,12,7
375,HL Carlyon (JER),9,8,0,156,19.5,131,119.06,21,3
376,SP Narine (WI),51,23,8,155,10.33,138,112.3,13,5
377,NA Greenwood (JER),8,8,0,154,19.25,128,120.3,15,2
378,JH Kallis (SA),9,7,3,154,38.5,131,117.56,16,3
379,AN Kervezee (NED),4,4,1,154,51.34,135,114.06,5,4
380,S Periyalwar (ROM),6,6,3,154,51.34,109,141.2,18,6
381,BA King (WI),11,10,0,153,15.3,114,134.2,20,5
382,RA Jadeja (IND),41,18,8,152,15.2,118,128.8,10,5
383,NG Collins (FIN),5,5,0,151,30.2,164,92.06,10,0
